[17:50:44.477] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[17:50:44.634] | INFO  | main                             | YandexComp                       | driver shutDown
[17:54:33.159] | INFO  | main                             | YandexComp                       | Initialized driver
[17:54:35.773] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (45d842cd0eedd88f6d63eb872e8c7a8f)
[17:54:36.691] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[17:54:39.400] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[17:54:42.965] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[17:54:43.290] | INFO  | main                             | YandexComp                       | Select HUAWEI
[17:54:43.677] | INFO  | main                             | YandexComp                       | Select Xiaomi
[17:54:43.677] | INFO  | main                             | YandexComp                       | Sort HUAWEI and Xiaomi
[17:54:45.348] | INFO  | main                             | YandexComp                       | Wait button - 'see more'
[17:54:45.351] | INFO  | main                             | YandexComp                       | Element find
[17:54:45.534] | INFO  | main                             | YandexComp                       | driver shutDown
[17:55:53.703] | INFO  | main                             | YandexComp                       | Initialized driver
[17:55:55.726] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (1731258994a17c8f44ac12512a9520eb)
[17:55:57.358] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[17:55:58.977] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[17:56:02.270] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[17:56:02.714] | INFO  | main                             | YandexComp                       | Select HUAWEI
[17:56:03.050] | INFO  | main                             | YandexComp                       | Select Xiaomi
[17:56:03.050] | INFO  | main                             | YandexComp                       | Sort HUAWEI and Xiaomi
[17:56:04.668] | INFO  | main                             | YandexComp                       | Wait button - 'see more'
[17:56:04.671] | INFO  | main                             | YandexComp                       | Element find
[17:56:04.678] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[17:56:04.826] | INFO  | main                             | YandexComp                       | driver shutDown
[17:57:20.241] | INFO  | main                             | YandexComp                       | Initialized driver
[17:57:22.664] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (e07b053307bbdd0b5fa41fb02a6a7415)
[17:57:23.342] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[17:57:26.000] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
